Config,Score,Silhouette,DB,Clusters,Noise%
nn15_mcs15,0.726,0.475,0.652,36,32.8%
nn10_mcs15,0.712,0.461,0.686,35,27.8%
nn10_mcs10,0.710,0.511,0.578,60,23.6%
nn15_mcs10,0.671,0.515,0.602,58,27.5%
nn15_mcs7,0.639,0.533,0.555,79,24.6%
nn20_mcs10,0.635,0.470,0.629,54,30.9%
nn20_mcs15,0.624,0.423,0.687,35,35.4%
nn20_mcs7,0.591,0.520,0.541,78,27.5%
nn30_mcs10,0.589,0.427,0.755,42,28.6%
nn10_mcs3,0.586,0.620,0.437,112,25.9%
nn10_mcs7,0.586,0.576,0.509,92,23.3%
nn10_mcs5,0.576,0.610,0.460,103,25.4%
nn30_mcs7,0.573,0.501,0.579,75,34.1%
nn20_mcs3,0.560,0.591,0.480,111,32.0%
nn20_mcs5,0.552,0.582,0.495,99,31.0%
nn15_mcs3,0.536,0.562,0.500,104,27.8%
nn15_mcs5,0.533,0.558,0.507,91,26.9%
nn30_mcs3,0.496,0.511,0.529,95,31.5%
nn30_mcs5,0.482,0.496,0.550,81,32.1%
nn30_mcs15,0.357,0.142,0.727,2,0.9%
