quarter_str,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
2016Q2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020Q3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2021Q2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022Q1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2022Q3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2022Q4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2023Q2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Q3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023Q4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,7,0,1,5,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0
2024Q1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,2,0,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2024Q2,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,3,15,1,2,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,3
2024Q3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,3,6,0,0,2,0,8,5,12,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2
2024Q4,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,0,2,0,1,0,8,0,8,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2025Q1,136,0,4,0,0,1,1,2,1,1,1,0,5,1,0,0,32,5,2,7,23,5,9,24,10,0,45,1,56,50,72,10,31,0,5,0,3,0,0,0,0,0,2,2,0,5,7,1,31,1,0,1,3,9
2025Q3,153,0,10,1,0,1,3,2,4,1,7,1,18,0,1,0,48,11,0,5,15,6,11,15,11,6,119,2,58,49,44,20,31,2,10,0,3,1,1,2,1,4,4,1,4,11,3,6,26,0,1,0,5,5
2025Q4,12066,160,716,15,44,123,113,325,210,203,409,108,368,57,55,53,1809,367,185,326,936,311,601,932,873,378,5266,107,2922,2615,2783,558,1321,62,421,57,242,62,31,249,2129,168,60,44,53,400,290,388,1657,97,31,35,220,418
